ababa	a- ba- ba
rukamugira	ru- ka- mu- gira
rukamuhamya	ru- ka- mu- hamya
rukamuhanisha	ru- ka- mu- hana -ish
rukamukatira	ru- ka- mu- kata -ir
rukamura	ru- kamura
rukamwa	ru- kama -w
rukandagiye	ru- kandagiye
rukanemererwa	ru- ka- n- emera -ir -w
rukanga	ru- kanga
rukangana	ru- kanga -an
rukanganya	ru- ka- nganya
rukangirurwa	ru- ka n- ki- rura -w
rukangiza	ru- ka- angiza
rukangurira	ru- kangura -ir
rukangurirwa	ru- kangura -ir -w
rukangurirwe	ru- kangura -ir -w -e
rukanika	ru- ka- anika
rukanitabira	ru- ka- n- itaba -ir
rukankamira	ru- kankamira
rukanyaraye	ru- ka n- ya- raye
rukanywa	ru- ka- nywa
rukanywe	ru- ka- nywa -e
rukarakara	ru- ka- rakara
rukarangira	ru- ka- rangira
rukarangwa	ru- karanga -w
rukarara	ru- ka- rara
rukareba	ru- ka- reba
rukarekura	ru- ka- rekura
rukarengera	ru- ka- rengera
rukari	ru- ka- ri
rukariha	ru- ka- ri- ha
rukarimburwa	ru- ka- rimbura -w
rukarusha	ru- ka- rusha
rukarushaho	ru- ka- rusha -ho
rukarutwikira	ru- ka- ru- twikira
rukata	ru- kata
rukataje	ru- kataje
rukatira	ru- kata -ir
rukatiye	ru- kata -iye
rukava	ru- ka- va
rukavamo	ru- ka- va -mo
rukavanamo	ru- ka- vana -mo
rukavuga	ru- ka- vuga
rukayabura	ru- ka- ya- bura
rukayadukira	ru- ka ya- tu- kira
rukayafata	ru- ka- ya- fata
rukayagenderaho	ru- ka- ya- genda -ir -ho
rukayangiza	ru- ka- y- angiza
rukayanywera	ru- ka- ya- nywa -ir
rukayarya	ru- ka- ya- rya
rukayategura	ru- ka- ya- tegura
rukayigiramo	ru- ka- yi- gira -mo
rukayikoresha	ru- ka- yi- koresha
rukayirwanya	ru- ka- yi- rwanya
rukayitsinda	ru- ka- yi- tsinda
rukayoboka	ru- ka- yoboka
rukaza	ru- kaza
rukazaba	ru- ka- za- ba
rukazabafasha	ru- ka- za- ba- fasha
rukazabanza	ru- ka- za- banza
rukazabigeraho	ru- ka- za- bi- gera -ho
rukazafasha	ru- ka- za- fasha
rukazafashwa	ru- ka- za- fashwa
rukazafatanya	ru- ka- za- fatanya
rukazagera	ru- ka- za- gera
rukazahagararirwa	ru- ka- za- hagararira -w
rukazahora	ru- ka- za- hora
rukazahungukira	ru- ka- za- hunguka -ir
rukazajya	ru- ka- za- jya
rukazajyana	ru- ka- za- jyana
rukazakina	ru- ka- za- kina
rukazakira	ru- ka- za- kira
rukazakomeza	ru- ka- za- komeza
rukazakora	ru- ka- za- kora
rukazakorerwa	ru- ka- za- korerwa
rukazakoresha	ru- ka- za- koresha
rukazakorwa	ru- ka- za- korwa
rukazamara	ru- ka- za- mara
rukazamubamo	ru- ka- za- mu- ba -mo
rukazamukatira	ru- ka- za- mu- kata -ir
rukazana	ru- kaza -an
rukazaryitabira	ru- ka- za- ri- itaba -ir
rukazasarura	ru- ka- za- sarura
rukazashakisha	ru- ka- za- shakisha
rukazashyirwamo	ru- ka- za- shyira -w -mo
rukazasomwa	ru- ka- za- soma -w
rukazasubirwamo	ru- ka- za- subira -w -mo
rukazatanga	ru- ka- za- tanga
rukazatangira	ru- ka- za- tangira
rukazatwara	ru- ka- za- twara
rukazibuka	ru- ka- zibuka
rukazihatira	ru- ka- zi- hata -ir
rukazima	ru- ka- zima
rukazimurirwa	ru- ka zi- mu- rira -w
rukaziramo	ru- kaza -ir -mo
rukazirinda	ru- ka- za- irinda
rukazishyura	ru- ka- za- ishyura
rukazitabira	ru- ka- za- itaba -ir
rukazoherezwa	ru- ka- za- ohereza -w
rukazongera	ru- ka- za- ongera
rukazubakwa	ru- ka- za- ubaka -w
rukegukana	ru- ka- eguka -an
rukemera	ru- ka- emera
rukemererwa	ru- ka- emera -ir -w
rukemerwa	ru- ka- emera -w
rukenera	ru- kenera
rukeneye	ru- keneye
rukennye	ru- kennye
rukera	ruka -ir
rukerera	ru- kera -ir
rukererewe	ru- kererewe
rukesha	ruka -ish
rukeshwa	ruka -ish -w
rukibagirwa	ru- ka- ibagirwa
rukibagora	ru- ki- ba- gora
rukibaho	ru- ki- ba -ho
rukibarangwamo	ru- ki- ba- ranga -w -mo
rukibarirwa	ru- ki- ba- rira -w
rukibeshwaho	ru- ki- ba -ish -w -ho
rukibona	ru- ki- bona
rukibura	ru- ki- bura
rukidagadura	ru- ka- idagadura
rukifashisha	ru- ki- fasha -ish
rukifatanya	ru- ki- fatanya
rukiga	ru- ka- iga
rukigana	ru- ki- gana
rukiganira	ru- ki- ganira
rukiganisha	ru- ki- gana -ish
rukiganza	ru- ki- ganza
rukigaragazwa	ru- ki- garagaza -w
rukigendera	ru- ka- igendera
rukigera	ru- ki- gera
rukigerageza	ru- ki- gerageza
rukigeraho	ru- ki- gera -ho
rukigeretse	ru- ki- geretse
rukigeza	ru- ki- geza
rukigeze	ru- ki- geze
rukigira	ru- ki- gira
rukigisha	ru- ka- igisha
rukigishwa	ru- ka- igishwa
rukihangira	ru- ki- hanga -ir
rukihutishwa	ru- ka- ihuta -ish -w
rukijijwe	ru- kijijwe
rukikije	ru- kikije
rukikura	ru- ki- kura
rukimara	ru- ki- mara
rukimubabaza	ru- ki- mu- babaza
rukimukingiye	ru- ki- mu- kinga -iye
rukina	ru- kina
rukine	ru- kina -e
rukingira	ru- kinga -ir
rukinirwa	ru- kina -ir -w
rukinjiramo	ru- ka- injira -mo
rukinnye	ru- ki- nnya -e
rukinze	ru- kinze
rukirangira	ru- ki- rangira
rukirangiza	ru- ki- rangiza
rukirangwa	ru- ki- ranga -w
rukirangwaho	ru- ki- ranga -w -ho
rukiri	ru- ki- ri
rukirinda	ru- ki- rinda
rukirirwa	ru- ka- irirwa
rukirwana	ru- ki- rwana
rukirwanaho	ru- ki- rwana -ho
rukitabira	ru- ka- itaba -ir
rukitekerezaho	ru- ki- tekereza -ho
rukitoza	ru- ki- toza
rukitwara	ru- ki- twara
rukiva	ru- ki- va
rukivuguruza	ru- ki- vuguruza
rukivuka	ru- ki- vuka
rukiyandikisha	ru- ka- iyandikisha
rukiyirimo	ru- ki- yi- ri -mo
rukiyoborwa	ru- ki- yobora -w
rukiyongera	ru- ka- i- ongera
rukiyongeraho	ru- ka- i- ongera -ho
rukiza	ru- kiza
rukizera	ru- ka- izera
rukohereza	ru- ka- ohereza
rukoherezwa	ru- ka- ohereza -w
rukoma	ru- koma
rukomatanya	ru- komatanya
rukomeje	ru- komeje
rukomere	ru- komera -e
rukomeye	ru- komeye
rukomeza	ru- komeza
rukomeze	ru- komeza -e
rukomezwa	ru- komeza -w
rukomoka	ru- komoka
rukomotse	ru- komotse
rukongera	ru- ka- ongera
rukongererwa	ru- ka- ongera -ir -w
rukora	ru- kora
rukorana	ru- korana
rukoranamo	ru- korana -mo
rukoranira	ru- korana -ir
rukoranye	ru- koranye
rukore	ru- kora -e
rukorera	ru- korera
rukoreramo	ru- korera -mo
rukorere	ru- korera -e
rukorerwa	ru- korerwa
rukorerwaho	ru- korerwa -ho
rukorerwamo	ru- korerwa -mo
rukorerwe	ru- korerwa -e
rukoresha	ru- koresha
rukoreshe	ru- koresha -e
rukoresheje	ru- koresheje
rukoreshwa	ru- koreshwa
rukoreshwamo	ru- koreshwa -mo
rukorewe	ru- korewe
rukorwaho	ru- korwa -ho
rukoze	ru- koze
rukozwe	ru- kozwe
rukubabaza	ru- ku- babaza
rukubaka	ru- ka- ubaka
rukubise	ru- kubise
rukubitana	ru- kubita -an
rukubite	ru- kubita -e
rukubiyemo	ru- kuba -iye -mo
rukuka	ru- kuka
rukukunda	ru- ku- kunda
rukukuri	ru- ku- ku- ri
rukuma	ru- ka- uma
rukumira	ru- kumira
rukumire	ru- kumira -e
rukumva	ru- ka- umva
rukumvikana	ru- ka- umvikana
rukunda	ru- kunda
rukundana	ru- kundana
rukunganira	ru- ku- n- ganira
rukunze	ru- kunze
rukura	ru- kura
rukuramo	ru- kura -mo
rukurana	ru- kura -an
rukure	ru- kura -e
rukureho	ru- kura -e -ho
rukurikira	ru- ku- ri- kira
rukurikirana	ru- ku- ri- kira -an
rukurikiranaho	ru- ku- ri- kira -an -ho
rukurikirane	ru- ku- ri- kira -an -e
rukurikiranye	ru- ku- ri- kira -an -ye
rukurikiranyeho	ru- ku- ri- kira -an -ye -ho
rukurikirwa	ru- ku- ri- kira -w
rukurikiza	ru- ku- ri- kiza
rukurikizwa	ru- ku- ri- kizwa
rukuriwe	ru- ku- riwe
rukuriye	ru- kura -iye
rukuriyeho	ru- kura -iye -ho
rukururana	ru- kurura -an
rukururuka	ru- ka- ururuka
rukururwa	ru- kurura -w
rukuruzi	ru- ku- ruzi
rukurwamo	ru- kura -w -mo
rukurya	ru- ku- rya
rukuta	ru- ku- ta
rukuye	ru- kuye
rukuze	ru- kuze
rukwiriye	ru- kwiriye
rukwiye	ru- kwa -iye
rumanikwa	ru- manika -w
rumara	ru- mara
rumarira	ru- mara -ir
rumarirwa	ru- mara -ir -w
rumariye	ru- mara -iye
rumaze	ru- maze
rumazeho	ru- maze -ho
rumazemo	ru- maze -mo
rumbwiye	ru- n- bwiye
rumene	ru- mena -e
rumenya	ru- menya
rumenye	ru- menye
rumenyeshwa	ru- menya -ish -w
rumenyeshwe	ru- menya -ish -w -e
rumera	ru- mera
rumerera	ru- mera -ir
rumeze	ru- meze
rumira	ru- mira
rumubajije	ru- mu- bajije
rumubaza	ru- mu- baza
rumubonaho	ru- mu- bona -ho
rumuburanisha	ru- mu- burana -ish
rumuburanishe	ru- mu- burana -ish -e
rumubwira	ru- mu- bwira
rumubwiye	ru- mu- bwiye
rumufasha	ru- mu- fasha
rumufata	ru- mu- fata
rumufiteho	ru- mu- fite -ho
rumufunga	ru- mu- funga
rumugira	ru- mu- gira
rumugiriye	ru- mu- gira -iye
rumugwaho	ru- mu- gwa -ho
rumuha	ru- mu- ha
rumuhagarika	ru- mu- hagarika
rumuhagaritse	ru- mu- hagaritse
rumuhamagara	ru- mu- hamagara
rumuhamije	ru- mu- hamije
rumuhamirije	ru- mu- hamirije
rumuhamya	ru- mu- hamya
rumuhanaguraho	ru- mu- hanagura -ho
rumuhe	ru- mu- ha -e
rumuhesha	ru- mu- ha -ish
rumuhuza	ru- mu- huza
rumukatira	ru- mu- kata -ir
rumukoresha	ru- mu- koresha
rumukuriye	ru- mu- kura -iye
rumumba	ru- mu- n- ba
rumumenyesha	ru- mu- menya -ish
rumupfira	ru- mu- pfa -ir
rumurega	ru- mu- rega
rumurekura	ru- mu- rekura
rumurenganya	ru- mu- renganya
rumuri	ru- mu- ri
rumurika	ru- murika
rumurikira	ru- murika -ir
rumurikire	ru- murika -ir -e
rumuruka	ru- mu- ruka
rumusaba	ru- mu- saba
rumusabira	ru- mu- saba -ir
rumusezerera	ru- mu- sezera -ir
rumushaka	ru- mu- shaka
rumushakisha	ru- mu- shakisha
rumushimisha	ru- mu- shima -ish
rumushimishije	ru- mu- shima -ish -ije
rumushinja	ru- mu- shinja
rumushyigikiye	ru- mu- shyigikiye
rumushyiraho	ru- mu- shyira -ho
rumusomera	ru- mu- soma -ir
rumuta	ru- mu- ta
rumutegeka	ru- mu- tegeka
rumutera	ru- mu- tera
rumutesha	ru- mu- ta -ish
rumutoye	ru- mu- toye
rumutumira	ru- mu- tumira
rumutunguye	ru- mu- tunguye
runabone	ru- na- bona -e
runafashe	ru- na- fashe
runafatanya	ru- na- fatanya
runafite	ru- na- fite
runagabanya	ru- na- gabanya
runagamije	ru- na- gamije
runagaragara	ru- na- garagara
runagaragarira	ru- na- garagara -ir
runagaragaza	ru- na- garagaza
runagaya	ru- na- gaya
runagira	ru- na- gira
runahawe	ru- na- hawe
runahindura	ru- na- hindura
runajuririrwa	ru- na- jurira -ir -w
runakira	ru- na- kira
runakora	ru- na- kora
runakorana	ru- na- korana
runakorera	ru- na- korera
runakoresha	ru- na- koresha
runakoreshwa	ru- na- koreshwa
runama	ra- unama
runambabaza	ru- na- n- babaza
runamushimisha	ru- na- mu- shima -ish
runamutegeka	ru- na- mu- tegeka
runanira	ru- nanira
runaniza	ru- na- n- i- za
runanuka	ru- na- nuka
runanywa	ru- na- nywa
runaregwamo	ru- na- rega -w -mo
runarwanya	ru- na- rwanya
runasarurwa	ru- na- sarura -w
runashyiraho	ru- na- shyira -ho
runashyire	ru- na- shyira -e
runashyirirwaho	ru- na- shyira -ir -w -ho
runashyirwa	ru- na- shyira -w
runasobanura	ru- na- sobanura
runasomera	ru- na- soma -ir
runasomerwa	ru- na- soma -ir -w
runasura	ru- na- sura
runatanga	ru- na- tanga
runatangaza	ru- na- tangaza
runateganya	ru- na- teganya
runategeka	ru- na- tegeka
runategereje	ru- na- tegereje
runategura	ru- na- tegura
runategurirwa	ru- na- tegura -ir -w
runatora	ru- na- tora
runavuga	ru- na- vuga
runavugwa	ru- na- vuga -w
runaziranye	ru- na- zira -an -ye
runda	runda
runde	runda -e
rundenze	ru- n- renze
runemera	ru- n- emera
runemererwa	ru- n- emera -ir -w
runenga	ru- n- enga
runengwa	ru- n- enga -w
runerekana	ru- n- erekana
runezezwa	ru- nezeza -w
rungana	ru- ngana
runganya	ru- nganya
rungenderaho	ru- n- genda -ir -ho
runifashishwa	ru- n- ifasha -ish -w
runifatanya	ru- n- i- fatanya
runigishwa	ru- n- igishwa
runirengagije	ru- n- irengagije
runitabira	ru- n- itaba -ir
runjeho	ru- n- je -ho
runkura	ru- n- kura
runoze	ru- noza -e
runsaba	ru- n- saba
runuka	ru- nuka
runyura	ru- nyura
runyuramo	ru- nyura -mo
runyuranye	ru- nyura -an -ye
runywa	ru- nywa
rupfusha	ru- pfusha
rupima	ru- pima
rupimirwaho	ru- pima -ir -w -ho
rura	rura
ruraba	ru- raba
rurababarira	ru- ra- babarira
rurabagorora	ru- ra- ba- gorora
rurabarizwa	ru- ra- ba- ri- za -w
rurabifashwamo	ru- ra- bi- fashwa -mo
rurabihamya	ru- ra- bi- hamya
rurabizi	ru- ra- bi- zi
rurabona	ru- ra- bona
ruraburanisha	ru- ra- burana -ish
rurabyiga	ru- ra- byiga
rurabyimba	ru- ra- byimba
ruracyafite	ru- racya- fite
ruracyari	ru- racya- ri
ruracyasabwa	ru- racya- saba -w
ruracyashakisha	ru- racya- shakisha
ruracyayirimo	ru- racya- yi- ri -mo
rurafasha	ru- ra- fasha
rurafashwe	ru- ra- fashwa -e
rurafata	ru- ra- fata
ruragaragaza	ru- ra- garagaza
ruragenda	ru- ra- genda
ruragendera	ru- ra- genda -ir
ruragera	ru- ra- gera
ruragira	ru- ragira
ruragurishwamo	ru- ra- gurishwa -mo
ruragwira	ru- ra- gwira
rurahamagarirwa	ru- ra- hamagara -ir -w
rurahangana	ru- ra- hangana
rurahari	ru- ra- ha- ri
rurahira	ru- rahira
rurahirira	ru- rahira -ir
ruraho	rura -ho
rurahugurwa	ru- ra- hugurwa
rurahumanya	ru- ra- humanya
rurahumuriza	ru- ra- humuriza
rurakaba	ru- ra- ka- ba
rurakabije	ru- ra- kabije
rurakangurira	ru- ra- kangura -ir
rurakangurirwa	ru- ra- kangura -ir -w
rurakataje	ru- ra- kataje
rurakina	ru- ra- kina
rurakirwa	ru- ra- kira -w
rurakomeje	ru- ra- komeje
rurakomeza	ru- ra- komeza
rurakora	ru- ra- kora
rurakorwa	ru- ra- korwa
rurakwiye	ru- ra- kwa -iye
ruramba	ru- ramba
rurambikana	ru- rambika -an
rurambirwa	ru- ramba -ir -w
rurambitse	ru- rambitse
ruramuka	ru- ramuka
ruramuke	ru- ramuka -e
ruramushaka	ru- ra- mu- shaka
ruramushakisha	ru- ra- mu- shakisha
ruramutegereza	ru- ra- mu- tegereza
ruramutse	ru- ramutse
ruranakangurirwa	ru- ra- na- kangura -ir -w
ruranakomeza	ru- ra- na- komeza
ruranarurangiza	ru- ra- na- ru- rangiza
rurangije	ru- rangije
rurangira	ru- rangira
rurangirira	ru- rangira -ir
rurangirwa	ru- rangira -w
rurangiye	ru- rangiye
rurangiza	ru- rangiza
rurangize	ru- rangiza -e
rurangizwa	ru- rangiza -w
rurangwa	ru- ranga -w
rurangwaho	ru- ranga -w -ho
rurangwamo	ru- ranga -w -mo
ruranutse	ru- ra- nutse
ruranwa	rura -an -w
rurarangizwa	ru- ra- rangiza -w
rurarushaho	ru- ra- rusha -ho
ruraryana	ru- ra- ryana
ruraryoshye	ru- ra- ryoshye
rurasaba	ru- ra- saba
rurasabira	ru- ra- saba -ir
rurasabwa	ru- ra- saba -w
rurashaka	ru- ra- shaka
rurashima	ru- ra- shima
rurashimira	ru- ra- shimira
rurashimirwa	ru- ra- shimira -w
rurashimishije	ru- ra- shima -ish -ije
rurashimwa	ru- ra- shimwa
rurashyira	ru- ra- shyira
rurashyize	ru- ra- shyize
rurasubikwa	ru- ra- subikwa
rurataha	ru- ra- taha
ruratanga	ru- ra- tanga
ruratangaje	ru- ra- tangaje
ruratangaza	ru- ra- tangaza
ruratangazwa	ru- ra- tangaza -w
ruratangiye	ru- ra- tangiye
rurateganya	ru- ra- teganya
rurateganywa	ru- ra- teganya -w
rurategerejwe	ru- ra- tega -ir -ije -w
rurategura	ru- ra- tegura
ruratera	ru- ra- tera
ruratinya	ru- ra- tinya
ruratsindwa	ru- ra- tsindwa
ruraturika	ru- ra- turika
ruravuga	ru- ra- vuga
ruravuguruza	ru- ra- vuguruza
ruravugwa	ru- ra- vuga -w
ruravurwa	ru- ra- vura -w
ruraza	ru- ra- za
rureba	ru- reba
rurebana	ru- reba -an
rurebe	ru- reba -e
rurebere	ru- reba -ir -e
rureberemo	ru- reba -ir -e -mo
rurebwa	ru- reba -w
ruregwa	ru- rega -w
ruregwamo	ru- rega -w -mo
rureka	ru- reka
rureke	ru- reka -e
rurema	ru- rema
rurenga	ru- renga
rurengana	ru- renga -an
rurengera	ru- rengera
rurenze	ru- renze
rurere	rura -ir -e
rurerekana	ru- ra- erekana
rureshya	ru- reshya
ruri	ru- ri
ruriba	ru- ri- ba
ruributsa	ru- ra- ibutsa
ruribwa	ru- ribwa
ruricecekera	ru- ri- ceceka -ir
rurifungura	ru- ri- fungura
rurifuza	ru- ra- ifuza
rurigaragaza	ru- ri- garagaza
rurihangana	ru- ra- ihangana
rurihe	ru- ri- ha -e
ruriho	ru- ri -ho
rurihwa	ru- ri- ha -w
rurikesha	ru- ri- kesha
rurima	ru- ra- ima
rurimo	ru- ri -mo
rurinda	ru- rinda
rurinde	ru- rinda -e
rurindiramo	ru- rindira -mo
rurindwa	ru- rinda -w
ruringaniye	ru- ringaniye
rurinzwe	ru- ri- n- za -w -e
ruririra	ra- urira -ir
rurishimira	ru- ri- shimira
rurishwamo	rura -ish -w -mo
rurisuzuma	ru- ri- suzuma
ruritegura	ru- ri- tegura
ruritugura	ru- ri- tu- gura
ruriyongera	ru- ra- i- ongera
rurongera	ru- ra- ongera
rurubaza	ru- ru- baza
rurugenzura	ru- ru- genzura
rurure	ru- rura -e
rurusha	ru- rusha
rurushaho	ru- rusha -ho
rurusheho	ru- rusha -e -ho
rurushobore	ru- ru- shobora -e
rurushwa	ru- rusha -w
ruruta	ru- ruta
ruruvugaho	ru- ru- vuga -ho
rurwana	ru- rwana
rurwanira	ru- rwana -ir
rurwanya	ru- rwanya
rurwanye	ru- rwanye
rurwaye	ru- rwaye
rurya	ru- rya
ruryana	ru- ryana
ruryohera	ru- ryoha -ir
ruryoshye	ru- ryoshye
rusa	ru- sa
rusaba	ru- saba
rusabe	ru- saba -e
rusabiriza	ru- sabiriza
rusabiye	ru- saba -iye
rusabwa	ru- saba -w
rusabwe	ru- saba -w -e
rusabye	ru- sabye
rusaga	ru- saga
rusagambe	ru- sagamba -e
rusage	ru- saga -e
rusahurira	ru- sahura -ir
rusakabaka	ru- sakabaka
rusanga	ru- sanga
rusange	ru- sanga -e
rusangishijwe	ru- sanga -ish -ije -w
rusangiye	ru- sangiye
rusanwa	ru- sa -an -w
rusanze	ru- sanze
rusanzemo	ru- sanze -mo
rusanzwe	ru- sanzwe
rusanzweho	ru- sanzwe -ho
rusarura	ru- sarura
rusarurira	ru- sarura -ir
rusasiye	ru- sasa -iye
ruse	ruse
rusekera	ru- seka -ir
rusenda	ru- senda
rusenge	ru- senga -e
rusengera	ru- sengera
rusengerwamo	ru- sengera -w -mo
rusesa	ru- sesa
rusezera	ru- sezera
rusha	rusha
rushaho	rusha -ho
rushaje	ru- shaje
rushaka	ru- shaka
rushake	ru- shaka -e
rushakira	ru- shakira
rushakirwaho	ru- shakira -w -ho
rushakisha	ru- shakisha
rushakiye	ru- shakiye
rushanwa	rusha -an -w
rushashe	ru- shashe
rushatse	ru- shatse
rusheho	rusha -e -ho
rushima	ru- shima
rushimangira	ru- shimangira
rushimangiye	ru- shimangiye
rushimije	ru- shima -ije
rushimira	ru- shimira
rushimirwa	ru- shimira -w
rushimisha	ru- shima -ish
rushimishije	ru- shima -ish -ije
rushimishwa	ru- shima -ish -w
rushimwa	ru- shimwa
rushinga	ru- shinga
rushinge	ru- shinga -e
rushingira	ru- shinga -ir
rushingiraho	ru- shinga -ir -ho
rushingiye	ru- shinga -iye
rushingiyeho	ru- shinga -iye -ho
rushinja	ru- shinja
rushinjwa	ru- shinjwa
rushira	rusha -ir
rushire	rusha -ir -e
rushishikariye	ru- shishikara -iye
rushoboka	ru- shoboka
rushoboke	ru- shoboka -e
rushobora	ru- shobora
rushobore	ru- shobora -e
rushoboye	ru- shoboye
rushongesha	ru- shonga -ish
rushukwa	ru- shuka -w
rushwa	rusha -w
rushyigikiye	ru- shyigikiye
rushyinguyemo	ru- shyinguye -mo
rushyira	ru- shyira
rushyiraho	ru- shyira -ho
rushyiramo	ru- shyira -mo
rushyire	ru- shyira -e
rushyirirwaho	ru- shyira -ir -w -ho
rushyiriye	ru- shyiriye
rushyirwa	ru- shyira -w
rushyirwaho	ru- shyira -w -ho
rushyirwe	ru- shyira -w -e
rushyize	ru- shyize
rushyizemo	ru- shyize -mo
rushyushye	ru- shyushye
rusiba	ru- siba
rusiga	ru- siga
rusigara	ru- sigara
rusigarana	ru- sigara -an
rusigaranye	ru- sigara -an -ye
rusigaye	ru- sigaye
rusigire	ru- siga -ir -e
rusimbura	ru- simbura
rusimburwa	ru- simbura -w
rusimo	ru- si -mo
rusize	ru- size
rusobanukirwa	ru- sobanukirwa
rusobanukirwe	ru- sobanukirwa -e
rusobanukiwe	ru- sobanukiwe
rusobanura	ru- sobanura
rusobanurirwa	ru- sobanura -ir -w
rusohoka	ru- sohoka
rusohokamo	ru- sohoka -mo
rusohoke	ru- sohoka -e
rusohora	ru- sohora
rusohorwa	ru- sohora -w
rusohoye	ru- sohoye
rusoma	ru- soma
rusomwa	ru- soma -w
rusomwe	ru- soma -w -e
rusomye	ru- somye
rusubijwe	ru- subijwe
rusubikiwe	ru- subika -iye -w
rusubikwa	ru- subikwa
rusubira	ru- subira
rusubirishwamo	ru- subira -ish -w -mo
rusubirwamo	ru- subira -w -mo
rusubirwemo	ru- subira -w -e -mo
rusubitse	ru- subitse
rusubitswe	ru- subitswe
rusubiye	ru- subiye
rusubiza	ru- subiza
rusukuye	ru- sukuye
rusumba	ru- sumba
rusumbe	ru- sumba -e
rusumbye	ru- sumbye
rusumbyeho	ru- sumbye -ho
rusurwa	ru- sura -w
rusuye	ru- suye
rusuzugura	ru- suzugura
rusuzugurwa	ru- suzugura -w
rusuzuma	ru- suzuma
rusuzume	ru- suzuma -e
rusuzumiye	ru- suzuma -iye
rusya	ru- sya
ruta	ruta
rutaba	ru- taba
rutabahaye	ru- ta- ba- haye
rutabana	ru- ta- bana
rutabanje	ru- ta- ba- n- je
rutabasha	ru- ta- basha
rutabashije	ru- ta- bashije
rutabashyiraho	ru- ta- ba- shyira -ho
rutabaye	ru- tabaye
rutabayeho	ru- tabaye -ho
rutabereye	ru- tabereye
rutabigizemo	ru- ta- bi- gize -mo
rutabingwa	ru- ta- bi- n- gwa
rutabiteguye	ru- ta- bi- teguye
rutabona	ru- tabona
rutaboneza	ru- ta- boneza
rutabonye	ru- tabonye
rutabujije	ru- ta- bujije
rutabura	ru- ta- bura
rutaburanishijwe	ru- ta- burana -ish -ije -w
rutaburanishwa	ru- ta- burana -ish -w
rutabyemera	ru- ta- bi- emera
rutacanye	ru- ta- canye
rutaciwe	ru- ta- ca -iye -w
rutaciye	ru- ta- ciye
rutagabanije	ru- ta- gabanije
rutagabanutse	ru- ta- gabanutse
rutagambiriye	ru- ta- gamba -ir -iye
rutagamije	ru- ta- gamije
rutagaragaje	ru- ta- garagaje
rutagaragara	ru- ta- garagara
rutagaragariye	ru- ta- garagara -iye
rutagaragaza	ru- ta- garagaza
rutagaragazwa	ru- ta- garagaza -w
rutagarukiraga	ru- ta- garuka -ir -aga
rutagera	ru- ta- gera
rutagereranywa	ru- ta- gereranya -w
rutageze	ru- ta- geze
rutagezeho	ru- ta- geze -ho
rutagifasheho	ru- ta- ki- fashe -ho
rutagifite	ru- ta- ki- fite
rutagikora	ru- ta- ki- kora
rutagira	ru- tagira
rutagiramo	ru- tagira -mo
rutagiriwe	ru- ta- ki- riwe
rutagirwa	ru- tagira -w
rutagishobora	ru- ta- ki- shobora
rutagishoboye	ru- ta- ki- shoboye
rutagitanga	ru- ta- ki- tanga
rutagitonora	ru- ta- ki- tonora
rutagize	ru- tagize
rutagomba	ru- ta- gomba
rutagombye	ru- ta- gombye
rutagoranye	ru- ta- gora -an -ye
rutagucamo	ru- ta- ku- ca -mo
rutaha	ru- taha
rutahawe	ru- ta- hawe
rutahaye	ru- ta- haye
rutahindutse	ru- ta- hindutse
rutahora	ru- ta- hora
rutahuzaga	ru- ta- huza -aga
rutajegajega	ru- ta- jegajega
rutajya	ru- ta- jya
rutajyanye	ru- ta- jyanye
rutakagombye	ru- ta- ka- gombye
rutakaza	ru- ta- kaza
rutakibarirwa	ru- ta- ki- ba- rira -w
rutakigira	ru- ta- ki- gira
rutakiriho	ru- ta- ki- ri -ho
rutakirirwe	ru- ta- ka- irirwa -e
rutakomeza	ru- ta- komeza
rutakoze	ru- ta- koze
rutakura	ru- ta- kura
rutakwakira	ru- ta- ku- akira
rutakwakirwa	ru- ta- ku- akira -w
rutakwangiza	ru- ta- ku- angiza
rutakwemera	ru- ta- ku- emera
rutakwirengagizwa	ru- ta- ku- irengagiza -w
rutakwiyambazwa	ru- ta- ku- i- ambaza -w
rutamenya	ru- tamenya
rutamererwa	ru- ta- mera -ir -w
rutamubuza	ru- ta- mu- buza
rutanakora	ru- ta- na- kora
rutanarengeranye	ru- ta- na- rengera -an -ye
rutandukane	ru- tandukana -e
rutandukanira	ru- tandukana -ir
rutandukaniraho	ru- tandukana -ir -ho
rutandukaniye	ru- tandukana -iye
rutandukanya	ru- tandukanya
rutandukanye	ru- tandukanye
rutandukanywa	ru- tandukanya -w
rutandura	ru- ta- n- rura
rutaneshwa	ru- tana -ish -w
rutanga	ru- tanga
rutangaje	ru- tangaje
rutangana	ru- tanga -an
rutangaza	ru- tangaza
rutangazwa	ru- tangaza -w
rutangazwe	ru- tangaza -w -e
rutange	ru- tanga -e
rutangije	ru- tangije
rutangijwe	ru- tanga -ije -w
rutangira	ru- tangira
rutangiranye	ru- tangira -an -ye
rutangire	ru- tangira -e
rutangirira	ru- tangira -ir
rutangiriraho	ru- tangira -ir -ho
rutangiritse	ru- ta- angiritse
rutangiriye	ru- tangira -iye
rutangirwa	ru- tangira -w
rutangirwamo	ru- tangira -w -mo
rutangirwe	ru- tangira -w -e
rutangiye	ru- tangiye
rutangiza	ru- tangiza
rutanguye	ru- ta- n- guye
rutangwa	ru- tanga -w
rutangwaho	ru- tanga -w -ho
